acctsessionid,acctstarttime,upload,download,acctsessiontime,callingstationid,calledstationid,calledstation_ssid
75,7d5e3e642d8a383355065ca8691d87247d1b720afdfda276dc93a47579031ecb,2024-09-12 06:00:00,2,2,30.0,c3abbec933a0904e38506234a77ebea39870d8edec201bba47c3c93b97f8698d,96aeb7ed34416bb1891ebdb2d7727fb111549b6faec1202f65e5dc2de7cd3c63,
76,8e2d0491e88190712877f498056424015f042bd2472e9c0d6333b685b73d1ed4,2024-09-12 07:00:00,0,0,6.0,67e7af7ec374a5b03b1407237260e1968f1c6dcda863faa425d3f55f1f4dc632,ffc01f84f32e65f9201d802c2d5e0aaf2b04efd87241735e31469b8e302bbce9,eduroam
77,1238e867d73104536b5a535b2e5d68d3d24f5b9e04541d96a4508027cdd714dc,2024-09-12 07:00:00,0,0,5.0,4624dcab41f711701825678169090ba41b513a8022d587d05facaa7ccbea660c,a9fe5a7925c5a026d9148a8b48989ef93d09134ad235d2b673ec879baa8cb951,Porto. Free Wi-Fi
78,d2182227c061333713be1e646eb0a73a64c2a56f48172cbf06284343ad3297bb,2024-09-12 06:00:00,2,79,30.0,64bd2c489ecd65346f6a4f92f7bb676864080a13fe9d357dbf0bea57056aef4c,6b9f9bc0414773e591a14f21234e5773012f1274f7c2286f02a823c380dcb340,
79,617a564bc9cb1cafeed57b64261365af9ecd14a11d120a5a90901abe96ac3ae6,2024-09-12 02:00:00,0,0,30.0,83a6ddfedd324818eb9a1908f9883df870f799f8766419c0fee076065954e88b,eaf31d80997b02ba6ea771a4ce4363fe640a921f47284f788f2d1c907672f01b,
80,49b5c8480f5359a76d3e34a9ddcb8b3700d46ad2e81cf428ee7a543ee86cebf2,2024-09-12 05:00:00,0,0,0.0,9f94a63d538f934573b9d681e667cfc927181a346766ec9abe6a2dd85986e491,c5b75ca3821a19ebbaa99bfd055b16b36ef85c479c528735f86b6c24eacbc7a1,eduroam
81,7e247fd494ac5ec4c9f076a1e4628cd5837e619f07e0bd5f59e496693b37c17d,2024-09-12 01:00:00,0,0,,30519f9ec479c213fba27de8cecabbe743561ba61de0ac9e253e5c8b60a8ac78,699e73a48d40a6bfa12c823b48f627f6afe8c007efae138b841a1a091e49be02,Porto. Free Wi-Fi
82,e651d2094b7ae4933099667ea8c0434b01dd9586983ae4c340eb16b53e56e46a,2024-09-18 16:00:00,0,0,1.0,7bb15233faec7e36abb5923fc8280e77d817363d0360b746154ec3c2afe6e775,b7484be9d82f15a9cf0cc967b21931a60afe085c467bcdb725c21d39878276fc,eduroam
83,643793ade91bb23fc1279a55279619f5a60d6560dad876a30ae1f93136a1ce51,2024-09-12 07:00:00,1,17,1.0,aff5b7218430106765dad78c04de81fdbb3dce02e7c78be970ad3be3a50c5ba8,4cad16c07e8c4d222c35d87e0e91ca7f748373f1733a74e0cd7c6e2a295726b4,Porto. Free Wi-Fi
84,30ef8f67975d8c6f61f17793de733426e9d259a2620dfd299898b95fa52987d0,2024-09-12 03:00:00,1,21,6.0,4fcee32e0202dd8bd511817b5ac92d2a15d4eb7e71d198a3734fef329563c253,81fc66ca77e56b922c0f76a5af15bd7db07849296f6eb99db7e709feed9d890b,Porto. Free Wi-Fi
85,8d8db23f9005938740ae18fc5aeb6684b3a17ac4be64d8d7a4bb147f23f38fc2,2024-09-12 02:00:00,0,0,5.0,aec60bd32fa9a044b33df1e2252a7c625d30f4b2653b7e8819be5edf5054c0ac,b715b6d508f3617aeffc2c727c60e5e02c05a0540bb88a54b74d401c16708f63,Porto. Free Wi-Fi
